Date,Close
01.01.2024,"7,03"
02.01.2024,"9,48"
03.01.2024,"9,48"
04.01.2024,"9,51"
05.01.2024,"9,50"
06.01.2024,"9,33"
07.01.2024,"9,48"
08.01.2024,"9,59"
09.01.2024,"9,51"
10.01.2024,"9,59"
11.01.2024,"9,48"
12.01.2024,"9,43"
13.01.2024,"9,28"
14.01.2024,"9,42"
15.01.2024,"9,42"
16.01.2024,"9,34"
17.01.2024,"9,29"
18.01.2024,"9,27"
19.01.2024,"9,31"
20.01.2024,"9,13"
21.01.2024,"9,30"
22.01.2024,"9,26"
23.01.2024,"9,19"
24.01.2024,"9,23"
25.01.2024,"9,26"
26.01.2024,"9,33"
27.01.2024,"9,19"
28.01.2024,"9,32"
29.01.2024,"9,32"
30.01.2024,"9,35"
31.01.2024,"9,27"
01.02.2024,"9,40"
02.02.2024,"9,30"
03.02.2024,"9,37"
04.02.2024,"9,38"
05.02.2024,"9,23"
06.02.2024,"9,23"
07.02.2024,"9,25"
08.02.2024,"9,28"
09.02.2024,"9,31"
10.02.2024,"9,17"
11.02.2024,"9,31"
12.02.2024,"9,41"
13.02.2024,"9,34"
14.02.2024,"9,36"
15.02.2024,"9,32"
16.02.2024,"9,38"
17.02.2024,"9,25"
18.02.2024,"9,39"
19.02.2024,"9,46"
20.02.2024,"9,56"
21.02.2024,"9,61"
22.02.2024,"9,56"
23.02.2024,"9,54"
24.02.2024,"9,38"
25.02.2024,"9,53"
26.02.2024,"9,59"
27.02.2024,"9,56"
28.02.2024,"9,48"
29.02.2024,"9,45"
01.03.2024,"9,50"
02.03.2024,"9,35"
03.03.2024,"9,48"
04.03.2024,"9,55"
05.03.2024,"9,59"
06.03.2024,"9,61"
07.03.2024,"9,57"
08.03.2024,"9,64"
09.03.2024,"9,48"
10.03.2024,"9,63"
11.03.2024,"9,73"
12.03.2024,"9,73"
13.03.2024,"9,83"
14.03.2024,"9,73"
15.03.2024,"9,74"
16.03.2024,"9,62"
17.03.2024,"9,74"
18.03.2024,"9,76"
19.03.2024,"9,78"
20.03.2024,"9,85"
21.03.2024,"9,73"
22.03.2024,"9,67"
23.03.2024,"9,54"
24.03.2024,"9,64"
25.03.2024,"9,80"
26.03.2024,"9,78"
27.03.2024,"9,77"
28.03.2024,"9,75"
29.03.2024,"9,78"
30.03.2024,"9,62"
31.03.2024,"9,76"
01.04.2024,"9,72"
02.04.2024,"9,80"
03.04.2024,"9,80"
04.04.2024,"9,77"
05.04.2024,"9,74"
06.04.2024,"9,59"
07.04.2024,"9,74"
08.04.2024,"9,84"
09.04.2024,"9,83"
10.04.2024,"9,73"
11.04.2024,"9,79"
12.04.2024,"9,70"
13.04.2024,"9,63"
14.04.2024,"9,70"
15.04.2024,"9,68"
16.04.2024,"9,55"
17.04.2024,"9,63"
18.04.2024,"9,65"
19.04.2024,"9,76"
20.04.2024,"9,57"
21.04.2024,"9,75"
22.04.2024,"9,74"
23.04.2024,"9,74"
24.04.2024,"9,68"
25.04.2024,"9,77"
26.04.2024,"9,76"
27.04.2024,"9,61"
28.04.2024,"9,76"
29.04.2024,"9,78"
30.04.2024,"9,66"
01.05.2024,"9,73"
02.05.2024,"9,71"
03.05.2024,"9,71"
04.05.2024,"9,69"
05.05.2024,"9,70"
06.05.2024,"9,75"
07.05.2024,"9,73"
08.05.2024,"9,78"
09.05.2024,"9,88"
10.05.2024,"9,83"
11.05.2024,"9,79"
12.05.2024,"9,85"
13.05.2024,"9,90"
14.05.2024,"9,97"
15.05.2024,"10,04"
16.05.2024,"9,96"
17.05.2024,"10,01"
18.05.2024,"9,96"
19.05.2024,"9,94"
20.05.2024,"10,05"
21.05.2024,"10,09"
22.05.2024,"10,02"
23.05.2024,"10,05"
24.05.2024,"10,15"
25.05.2024,"10,12"
26.05.2024,"10,15"
27.05.2024,"10,20"
28.05.2024,"10,26"
29.05.2024,"10,16"
30.05.2024,"10,17"
31.05.2024,"10,21"
01.06.2024,"10,20"
02.06.2024,"10,21"
03.06.2024,"10,22"
04.06.2024,"10,11"
05.06.2024,"10,09"
06.06.2024,"10,12"
07.06.2024,"9,96"
08.06.2024,"9,97"
09.06.2024,"10,04"
10.06.2024,"9,99"
11.06.2024,"9,95"
12.06.2024,"10,03"
13.06.2024,"10,01"
14.06.2024,"9,86"
15.06.2024,"9,87"
16.06.2024,"9,86"
17.06.2024,"9,96"
18.06.2024,"9,97"
19.06.2024,"9,99"
20.06.2024,"9,95"
21.06.2024,"9,92"
22.06.2024,"9,91"
23.06.2024,"9,91"
24.06.2024,"10,08"
26.06.2024,"9,95"
27.06.2024,"9,98"
28.06.2024,"10,00"
30.06.2024,"9,97"
01.07.2024,"10,03"
02.07.2024,"10,09"
03.07.2024,"10,14"
04.07.2024,"10,15"
05.07.2024,"10,17"
06.07.2024,"10,16"
07.07.2024,"10,16"
08.07.2024,"10,26"
09.07.2024,"10,29"
10.07.2024,"10,28"
11.07.2024,"10,36"
12.07.2024,"10,42"
13.07.2024,"10,43"
14.07.2024,"10,38"
15.07.2024,"10,43"
16.07.2024,"10,44"
17.07.2024,"10,49"
18.07.2024,"10,47"
19.07.2024,"10,45"
20.07.2024,"10,46"
21.07.2024,"10,47"
22.07.2024,"10,44"
23.07.2024,"10,39"
24.07.2024,"10,33"
25.07.2024,"10,36"
26.07.2024,"10,34"
27.07.2024,"10,19"
28.07.2024,"10,36"
29.07.2024,"10,26"
30.07.2024,"10,26"
31.07.2024,"10,27"
01.08.2024,"10,24"
02.08.2024,"10,33"
03.08.2024,"10,33"
04.08.2024,"10,32"
05.08.2024,"10,41"
06.08.2024,"10,31"
07.08.2024,"10,27"
08.08.2024,"10,30"
09.08.2024,"10,34"
10.08.2024,"10,33"
11.08.2024,"10,30"
12.08.2024,"10,41"
13.08.2024,"10,52"
14.08.2024,"10,51"
15.08.2024,"10,49"
16.08.2024,"10,56"
17.08.2024,"10,56"
18.08.2024,"10,54"
19.08.2024,"10,67"
20.08.2024,"10,66"
21.08.2024,"10,71"
22.08.2024,"10,66"
23.08.2024,"10,75"
24.08.2024,"10,69"
25.08.2024,"10,66"
26.08.2024,"10,70"
27.08.2024,"10,72"
28.08.2024,"10,59"
29.08.2024,"10,61"
30.08.2024,"10,54"
31.08.2024,"10,55"
01.09.2024,"10,52"
02.09.2024,"10,59"
03.09.2024,"10,60"
04.09.2024,"10,58"
05.09.2024,"10,56"
06.09.2024,"10,53"
07.09.2024,"10,56"
08.09.2024,"10,55"
09.09.2024,"10,54"
10.09.2024,"10,53"
11.09.2024,"10,51"
12.09.2024,"10,61"
13.09.2024,"10,62"
14.09.2024,"10,44"
15.09.2024,"10,65"
16.09.2024,"10,73"
17.09.2024,"10,74"
18.09.2024,"10,72"
19.09.2024,"10,76"
20.09.2024,"10,75"
21.09.2024,"10,54"
22.09.2024,"10,71"
23.09.2024,"10,69"
24.09.2024,"10,79"
25.09.2024,"10,73"
26.09.2024,"10,69"
27.09.2024,"10,68"
29.09.2024,"10,67"
30.09.2024,"10,63"
01.10.2024,"10,58"
02.10.2024,"10,53"
03.10.2024,"10,49"
04.10.2024,"10,45"
05.10.2024,"10,45"
06.10.2024,"10,43"
07.10.2024,"10,38"
08.10.2024,"10,43"
09.10.2024,"10,40"
10.10.2024,"10,41"
11.10.2024,"10,44"
12.10.2024,"10,25"
13.10.2024,"10,38"
14.10.2024,"10,40"
15.10.2024,"10,37"
16.10.2024,"10,33"
17.10.2024,"10,29"
18.10.2024,"10,34"
19.10.2024,"10,14"
20.10.2024,"10,31"
21.10.2024,"10,27"
22.10.2024,"10,25"
23.10.2024,"10,16"
24.10.2024,"10,21"
25.10.2024,"10,23"
27.10.2024,"10,22"
28.10.2024,"10,21"
29.10.2024,"10,24"
30.10.2024,"10,23"
31.10.2024,"10,22"
01.11.2024,"10,19"
02.11.2024,"10,07"
03.11.2024,"10,23"
04.11.2024,"10,28"
05.11.2024,"10,33"
06.11.2024,"10,14"
07.11.2024,"10,27"
